"site","temp","day","month"
"Bern",-4.94265503875969,3,2
"Bern",-1.28957864341085,4,2
"Bern",-0.0231882421875,5,2
"Bern",-4.04995651162791,6,2
"Bern",-5.16309612403101,7,2
"Bern",-5.89878372093023,8,2
"Bern",-6.83194841085271,9,2
"Bern",-6.9743603875969,10,2
"Bern",-3.88790736434109,11,2
"Bern",-6.57591620155039,12,2
"Bern",-7.20175765625,13,2
"Bern",-4.58813484496124,14,2
"Bern",-2.243413359375,15,2
"Bern",-1.68184124031008,16,2
"Bern",-2.58811523255814,17,2
"Bern",-1.40461674418605,18,2
"Bern",-1.51908480620155,19,2
"Bern",-4.42351724806202,20,2
"Bern",-7.93775682170543,21,2
"Bern",-9.69360534883721,22,2
"Bern",-9.428625390625,23,2
"Bern",-8.25100829457364,24,2
"Bern",-5.9838330078125,25,2
"Bern",-3.19354689922481,26,2
"Bern",-2.766684765625,27,2
"Bern",-1.10749019379845,28,2
"Bern",-1.37663548,1,3
"Bern",-3.98296142857143,2,3
"Bern",-0.4585832421875,3,3
"Bern",5.95384213178295,4,3
"Bern",6.131264453125,5,3
"Bern",7.6478192248062,6,3
"Bern",8.22140860465116,7,3
"Bern",7.63636651162791,8,3
"Bern",5.9957023255814,9,3
"Bern",4.76128868217054,10,3
"Bern",2.8209494488189,11,3
"Bern",3.14488255905512,12,3
"Bern",-3.8472171875,13,3
"Bern",-7.151762109375,14,3
"Bern",-6.5656150390625,15,3
"Bern",-0.272204069767442,16,3
"Bern",3.025336875,17,3
"Bern",-0.569897421875,18,3
"Bern",-0.187020426356589,19,3
"Bern",1.5296873046875,20,3
"Bern",0.228493937007874,21,3
"Bern",4.76758251937984,22,3
"Bern",3.07871075396825,23,3
"Bern",-2.16258896825397,24,3
"Bern",-4.15747515625,25,3
"Bern",-5.187431328125,26,3
"Bern",-2.51275170542636,27,3
"Bern",0.488246279069767,28,3
"Bern",-1.45660829457364,29,3
"Bern",0.89578511627907,30,3
"Bern",-2.34221585365854,31,3
"Bern",-1.62465959349593,1,4
"Bern",-1.87646782945736,2,4
"Bern",-1.47321697674419,3,4
"Bern",2.27393868715084,4,4
"Bern",NA,5,4
"Bern",-0.629807981651376,6,4
"Bern",-1.36393420454545,7,4
"Bern",0.567992194570136,8,4
"Bern",2.19455036199095,9,4
"Bern",4.68313076388889,10,4
"Bern",7.68862420560748,11,4
"Bern",4.46741172727273,12,4
"Bern",6.19800515981735,13,4
"Bern",13.3624494009217,14,4
